,Название,Форма растения,Вид бобовых,Высота растения,Срок созревания
42,Горох овощной Молодо-зелено,Кустовая,Горох,Среднерослое,Среднеспелый
43,Горох овощной Дружные ребятки,Кустовая,Горох,Среднерослое,Среднеспелый
44,Фасоль вьющаяся Екатерина,Вьющаяся,Фасоль,Среднерослое,Среднеспелый
45,Фасоль овощная Амстер-дамстер,Кустовая,Фасоль,Среднерослое,Среднеспелый
46,Фасоль овощная Кетти,Кустовая,Фасоль,Среднерослое,Раннеспелый
47,Фасоль овощная Анастасия,Вьющаяся,Фасоль,Высокорослое,Среднеспелый
48,Горох овощной Фиолетовый сахар,Вьющаяся,Горох,Высокорослое,Среднеспелый
49,Фасоль вьющаяся Ажурная беседка,Вьющаяся,Фасоль,Высокорослое,Позднеспелый
50,Фасоль вьющаяся Солнечный поток,Плетистая,Фасоль,Высокорослое,Раннеспелый
51,Фасоль обыкновенная Рубин,Кустовая,Фасоль,Низкорослое,Позднеспелый
52,Фасоль овощная Дружная семейка,Кустовая,Фасоль,Низкорослое,Раннеспелый
53,Фасоль вьющаяся Розалинда,Вьющаяся,Фасоль,Высокорослое,Среднеспелый
54,Фасоль овощная Альбина,Кустовая,Фасоль,Низкорослое,Раннеспелый
55,Фасоль вьющаяся Златовласка,Вьющаяся,Фасоль,Высокорослое,Среднеспелый
56,Фасоль овощная Настенька,Кустовая,Фасоль,Низкорослое,Среднеспелый
